title,name,commit,newurl
JJ斗地主2V2擂台赛,JJ斗地主官方,154万,https://www.douyu.com/488743
乌鸦：周末愉快！今天5个超影！,9293丶欧皇鸦,154万,https://www.douyu.com/89293
点个相册？,是你的妙妙,71.4万,https://www.douyu.com/12121
今日双倍亲密哦,郁安楠,70万,https://www.douyu.com/10039515
【菊花】双倍亲密度，双倍上限,顶级菊宝a,149.6万,https://www.douyu.com/1679347
你真以为马里奥是个简单的游戏？？,超级小桀,148.8万,https://www.douyu.com/74751
今晚看看决赛 学习一下,白鲨念旧N9,148.8万,https://www.douyu.com/88899
最美遇见：猫猫 Ki 好人冠名！,小象一最美遇见丷,68.5万,https://www.douyu.com/135888
早起晨跑的杨颖,青榎,68.4万,https://www.douyu.com/11011
有车位有车位~~~~,超级小绵,147.2万,https://www.douyu.com/7853188
【橙子】单人四排全程高能视觉盛宴,神秘嘉宾橙子,146.3万,https://www.douyu.com/3652542
omg4+2，就是一顿乱秀！,Zhou陈尧,145.3万,https://www.douyu.com/88660
点唱/音乐/歌厅这个厅只唱歌 点歌看玩法,CH一再难遇我点唱厅,68万,https://www.douyu.com/956345
斗鱼大事件,奇点一可口可乐,67.7万,https://www.douyu.com/57888
峡谷之巅折磨观众,王纪超666,145.3万,https://www.douyu.com/3567314
我爱王者 王者爱我！,音七Simple,145.3万,https://www.douyu.com/1981932
由乃：国服第一可爱,douyu小漠,143.4万,https://www.douyu.com/85982
唱歌的方崽~,Ms方凡,66.9万,https://www.douyu.com/9779997
《纪实直播》一路向西（丽江）,叶子户外,66.6万,https://www.douyu.com/12580
【冲单排淘汰榜一】,Dy合群,142.2万,https://www.douyu.com/3984748
顶级射手 冲刺第一,鹿小鸣l,140.2万,https://www.douyu.com/10040721
不公平我要重生,昧昧不是妹妹,137.1万,https://www.douyu.com/9375414
钻粉双倍！我在长沙9991,尧顺宇,65.2万,https://www.douyu.com/9991
直-2倍 星星永远发着光~♥️,阿睿ARrr,63万,https://www.douyu.com/3809115
放松直播间 703747,主播杨树,135.6万,https://www.douyu.com/703747
下午打大师，晚上7点LSP比赛,4AM王欣,134.5万,https://www.douyu.com/296059
2w4战力第一花木兰,Ay杰瑞,132.9万,https://www.douyu.com/9771
爆护还是空军,湘野青年,61.4万,https://www.douyu.com/2507125
只会赌黄金1费海！！！！！！,小猪是超级大帅Bi,131.4万,https://www.douyu.com/168000
呆萌懒妹无敌射手嘎嘎下饭,苏小懒38D,130.9万,https://www.douyu.com/682821
【杰尼】公告普池大加强！,杰尼杰尼是你吧,128.7万,https://www.douyu.com/8804796
春日限定。,Y丶薄荷,61万,https://www.douyu.com/526583
随遇而安、,大慕慕吖,60.4万,https://www.douyu.com/5153172
提莫老祖！峡谷千分冲前10,恶霸提莫,128.2万,https://www.douyu.com/5220173
梨落第一视角,梨落秋溪,126.9万,https://www.douyu.com/594019
巅峰赛冲前十 9177171,DYG萧玦,125.6万,https://www.douyu.com/88805
郑州【人才储备计划】,大嘴love,59.9万,https://www.douyu.com/6561377
校花交友颜值一厅,星括一予你欢喜,58.8万,https://www.douyu.com/10666
来了来了兄弟们~,南波儿大魔王丶,125.3万,https://www.douyu.com/123455
赛前BB机一起看比赛！！,山东棋王弈哥,125万,https://www.douyu.com/844947
心静即为巅峰,猫幼zzz,124.6万,https://www.douyu.com/2037880
祝全世界最好的深渊哥生日快乐,莉歌Julie,58.6万,https://www.douyu.com/92111
【开心麻花】沈腾、马丽经典小品专场,开心麻花经典小品,58.4万,https://www.douyu.com/10153463
分数没有意义快乐才是真谛的直播间,衣锦夜行,121.3万,https://www.douyu.com/48699
预告丨19点 西安WE vs 济南RW侠,王者荣耀官方赛事,120.3万,https://www.douyu.com/998
辅助的开创者 辅助的神 ko神,大胖狗koko,119.8万,https://www.douyu.com/9168507
我大哥都是州长那偷来的,Lin菠萝,57.9万,https://www.douyu.com/62626
杭州打工人上班了,晚表妹,57.9万,https://www.douyu.com/77772
转世重生day8 300冲王者,苏科大,119.3万,https://www.douyu.com/10028785
今天想当狙击手 17点开战,loveyou_qq,118.6万,https://www.douyu.com/52319
果小果：钻粉2.5倍！,果小果是个弟弟,115.9万,https://www.douyu.com/5556
超级粉丝团冲冲冲！！！,珂珂宝丶,57万,https://www.douyu.com/5201314
每一步都要走在热爱中~9723731,时九岁吖,54.1万,https://www.douyu.com/9723731
真实战场单兵王,斯祥丶,115.8万,https://www.douyu.com/2311698
单人四排！乱杀！！！,左小亮丶,115.4万,https://www.douyu.com/4196725
开启双人模式！！！,景川川啊,113.7万,https://www.douyu.com/10307271
【交友】颜值声优在线等你,爱约一缘来是你,53.6万,https://www.douyu.com/55501
【南枫】宇智波枫,南枫阿i,113.5万,https://www.douyu.com/3436094
【百岁三】双倍亲密度+上限，跳个广场舞,CSGO百岁三,113.2万,https://www.douyu.com/1828
"今日双倍亲密度,!!!",谢彬DD,110.5万,https://www.douyu.com/110
世界地球日 告白母亲河,斗鱼综合,49.4万,https://www.douyu.com/432849
晚上暂时不播！,火力堂主,48.3万,https://www.douyu.com/241123
童扬第一视角,童扬korol丶,110.4万,https://www.douyu.com/7084089
微笑：船+efls+ez！,微笑,110万,https://www.douyu.com/16101
【有位置】全能上车dd,秦苏Su丶,108.8万,https://www.douyu.com/7815082
这周日有空吗,你的软软ovo,48.1万,https://www.douyu.com/10468826
20岁孙尚香为何嫁给49岁刘备？,易中天,47.6万,https://www.douyu.com/2320076
【新赛季排路人上战神！】,清风不是胖子,108.7万,https://www.douyu.com/5878647
国服妲己：进来学技术了,国服老狐狸,108.6万,https://www.douyu.com/2314338
【EA冠军杯】决赛日富力冲！,FIFAOnline4官方直播间,107.3万,https://www.douyu.com/7692166
向星辰大海进发,热点快报,46.4万,https://www.douyu.com/7825246
【特辑电影】怎么不算好看呢？,特辑电影院,46.3万,https://www.douyu.com/3637778
冰霜女皇和元素女皇的直播间,太原马超丶,106.9万,https://www.douyu.com/891464
我闪亮的登场~挖挖图,yjjimpaopao,106.9万,https://www.douyu.com/687423
二台【格局】看人之长,鲜肉赵山河,106.7万,https://www.douyu.com/435504
来听小甜歌儿叭~,就是尖尖兒,46万,https://www.douyu.com/457200
4月26日下周二19岁生日 期待你的到来,瑶美丽SY,45.7万,https://www.douyu.com/7674424
4指韩信 无规则野王,eStarPro纵情,106.1万,https://www.douyu.com/6436106
异灵术：快乐炉石尽在93589,异灵术老师,105.2万,https://www.douyu.com/93589
【匹路人上第二个战神】,凉白开OAO,104.5万,https://www.douyu.com/9149560
这女的长得还行，对吧,檬七七丶,45.1万,https://www.douyu.com/10627465
你给她刷过礼物。,uu超机灵,43.6万,https://www.douyu.com/9940809
小鼠：新来的小霉请多指教~,EGM老张,104.2万,https://www.douyu.com/10633543
露娜启示之音皮肤体验官手法天花板,第九片海owo,103.2万,https://www.douyu.com/10655535
小孩曾卓君：今晚海峡两地5v交流赛,游天堂,102.4万,https://www.douyu.com/2125
颜值声优在线，水晶yyds！,YAQ一水晶之恋,42.5万,https://www.douyu.com/10777
电棍:赢九盘就撤!!!,电棍,100.8万,https://www.douyu.com/12306
重拾绝活镜冲第一1,环斐丶羽衣,99.4万,https://www.douyu.com/1241233
开心DOTA！,龚建ZSMJ,99.1万,https://www.douyu.com/52876
【咖妃驾到】宋小宝经典小品,宋小宝小品,42.4万,https://www.douyu.com/9817729
交友/恋爱dd/男人哥独家冠名,YAQ一王者1st,41.9万,https://www.douyu.com/10678
斗鱼劳模の聊天室^^ 钻石双倍！,三酒OuO,97.8万,https://www.douyu.com/2421040
解说S联赛！不是毒奶！！！,17丶Xtreme,97.7万,https://www.douyu.com/1886240
【PSI四排晋级赛】,脆油条丷,97.3万,https://www.douyu.com/1322998
恭喜法海哥总榜一,成都55张,41.3万,https://www.douyu.com/4386404
浙江大眼睛萌妹子,Princess熙熙,40万,https://www.douyu.com/6958921
周末1.5倍亲密度~,无敌美塔塔无敌棒,96.8万,https://www.douyu.com/7184020
双国一2带3微信区上车,墨宇or,95.5万,https://www.douyu.com/10725261
看我凡子千分王者局乱杀,对子花,93.8万,https://www.douyu.com/6908420
[音乐] 等待良人归来那一刻,超可爱的小艾米Amy,39.9万,https://www.douyu.com/5952304
幸运爆表521,招财猫呢,39.7万,https://www.douyu.com/521
二台冰棍：发牌员爱我一次，冲大师了,四川棋王超哥,93.8万,https://www.douyu.com/10214664
晚上OB TOC 决赛！,迅哥丶雨霖铃,93.7万,https://www.douyu.com/216555
【G宝】吃鸡，嗨起来~Q叔七点来,气人主播QQQ,93.3万,https://www.douyu.com/19223
重庆 弹琴说爱的直播间,橘猫酱Q,39.6万,https://www.douyu.com/5516960
《荒岛余生》第11天 今天最后一天了！,逐梦兄弟,39.2万,https://www.douyu.com/5025477
☀第一AD单排抗压冲大分,太阳Xsun,93万,https://www.douyu.com/8440385
世一劫峡谷千分冲第一,空大的劫zz,92.8万,https://www.douyu.com/1237105
美女主播带哥哥们上分！！,心星丶RJ,92.5万,https://www.douyu.com/9539501
【交友】第一颜值厅/由赵子龙独家宠冠。,爱约一销魂之夜i,38.8万,https://www.douyu.com/101080
挑战一百天不断播第四十五天,桃子不是桃纸,37.7万,https://www.douyu.com/10016856
【骚某某】不杀10个请举报主播,骚某某,92.5万,https://www.douyu.com/5384600
暃暃暃 曜曜曜 匍匐前进,阿君Doja,91.3万,https://www.douyu.com/218716
呱唧 今日双倍 228989,小白鸽WhiteDove,90.9万,https://www.douyu.com/228989
点点饱饱的相册吧,八分饱ww,36.5万,https://www.douyu.com/2243218
胡同里的搞笑日常,是你的皮卡丘呀,36.3万,https://www.douyu.com/5981206
幻灭第一视角,AG丶幻灭,90.4万,https://www.douyu.com/9700836
下午跨1洗称号！！,银樰不是银雪,89.2万,https://www.douyu.com/5012053
来啦来啦，房间的灯坏了,钱蓓婷起床了没,88.5万,https://www.douyu.com/579557
致郁系歌手。,芥末很甜丶,36.3万,https://www.douyu.com/1009279
YJ-浪漫之爱‘柠萌的狗子’冠名,英爵一浪漫之约,36.1万,https://www.douyu.com/105211
虫王：峡谷又是闹虫灾的一天！,Chogod虫王,88.4万,https://www.douyu.com/7940025
人美声甜小野王,是Kiki啊,88.1万,https://www.douyu.com/6502892
感谢每个善意的人,头号玩家丶B,87.7万,https://www.douyu.com/2548171
震惊！3000年一见古风小仙女！,大王mio,95万,https://www.douyu.com/6129898
今天休息，出来放个风。,鱼子酱啦,76万,https://www.douyu.com/5508997
峡谷第3冲第一,一家之猪ovo,87.1万,https://www.douyu.com/10208912
笨鸟先飞，勤能补拙,阿福Afuuu,86.7万,https://www.douyu.com/1967734
